HTA_maille,Weighted_01,Weighted_pct_02
surface_tertiaire_electricite,0,0.321132967
surface_tertiaire_non_electricite,0,0.413260829
surface_residentiel_collectif_electricite,10,6.366069106
surface_residentiel_collectif_non_electricite,1,0
surface_residentiel_individuel_electricite,10,0.715254011
surface_residentiel_individuel_non_electricite,1,2.500493857
surface_dependance,0,0
surface_secondaire,0,0
CARREAU_nb_individus_0_3,0,0
CARREAU_nb_individus_4_5,0,0
CARREAU_nb_individus_6_10,0,0
CARREAU_nb_individus_11_17,0,0.002558105
CARREAU_nb_individus_18_24,0,0.102658101
CARREAU_nb_individus_25_39,0,0.374617097
CARREAU_nb_individus_40_54,0,0.070543804
CARREAU_nb_individus_55_64,0,0.013486005
CARREAU_nb_individus_65_79,0,0.026976549
CARREAU_nb_individus_80_plus,0,0.405322747
CARREAU_nb_individus_age_inconnu,0,0
CARREAU_revenu_bat,0,13.60825119
FUS_nb_log,0,0
CARREAU_nb_menages,1,5.136860158
CARREAU_nb_menages_pauvres,0,0.321773964
CARREAU_nb_menages_1_individu,0,1.0140008
CARREAU_nb_menages_5_indiv_et_plus,0,0.154684084
CARREAU_nb_menages_proprietaires,0,9.100244878
CARREAU_nb_menages_monoparentaux,0,0.379396824
CARREAU_surface_logements_carreau,0,15.06357641
CARREAU_nb_menages_logements_collectifs,0,0.084979441
CARREAU_nb_menages_maisons,1,1.769624688
CARREAU_nb_logements_sociaux,5,0
CARREAU_nb_individus,50,1
BDNB_hauteur,0,0
FUS_annee_construction,5,0.458336207
CARREAU_surface_par_personne,20,2.889445373
CARREAU_age_moyen_occupants,5,0.16347596
CARREAU_revenu_par_habitant,10,0.742931581
pred_residential_mwh,100,36.61405609
