HTA_maille,surface_tertiaire_electricite,surface_tertiaire_non_electricite,surface_residentiel_collectif_electricite,surface_residentiel_collectif_non_electricite,surface_residentiel_individuel_electricite,surface_residentiel_individuel_non_electricite,surface_dependance,surface_secondaire,CARREAU_nb_individus_0_3,CARREAU_nb_individus_4_5,CARREAU_nb_individus_6_10,CARREAU_nb_individus_11_17,CARREAU_nb_individus_18_24,CARREAU_nb_individus_25_39,CARREAU_nb_individus_40_54,CARREAU_nb_individus_55_64,CARREAU_nb_individus_65_79,CARREAU_nb_individus_80_plus,CARREAU_nb_individus_age_inconnu,CARREAU_revenu_bat,FUS_nb_log,CARREAU_nb_menages,CARREAU_nb_menages_pauvres,CARREAU_nb_menages_1_individu,CARREAU_nb_menages_5_indiv_et_plus,CARREAU_nb_menages_proprietaires,CARREAU_nb_menages_monoparentaux,CARREAU_surface_logements_carreau,CARREAU_nb_menages_logements_collectifs,CARREAU_nb_menages_maisons,CARREAU_nb_logements_sociaux,CARREAU_nb_individus,BDNB_hauteur,FUS_annee_construction,CARREAU_surface_par_personne,CARREAU_age_moyen_occupants,CARREAU_revenu_par_habitant,pred_residential_mwh,pred_non_residential_mwh,pred_total_mwh,aggregation_type,source_meshes,n_base_meshes_combined
F01,32780.74708,50109.24,70449.96709,129941.6773,823.7775,2625.809678,95.255,232.525,109.048259,53.27740272,150.2750123,164.7105809,204.5481473,612.1916963,441.1695104,232.7983069,308.9260119,147.5504804,1.713935255,58393838.59,4115.185713,1240.620034,188.0517022,608.125888,59.2064296,575.0040001,126.5250836,86176.13377,1229.843895,10.77613961,202.6657064,2426.209343,20.98806511,1976.59113,84.01634101,40.04932406,24067.9308,3972.494384,8616.085707,12588.58009,base_mesh,F01,1
F02,34677.78894,68357.65783,110300.7865,231271.447,6540.777663,34971.05195,979.3890654,0,146.7198041,69.98412303,200.5052377,278.4484404,333.1991788,997.4681067,702.4894474,456.5442385,558.8474772,219.051187,8.850575382,92853685.27,6364.183442,2130.888371,459.6455634,1131.90333,85.89939092,717.5241096,227.1655837,142532.6266,2071.939655,58.94871524,616.7925021,3972.107816,15.30588465,1930.272355,96.44352088,41.28569856,23376.42621,6869.455182,10519.12853,17388.58371,base_mesh,F02,1
F03_F04_F05_F17,133696.5292,274775.8744,538212.6185,902761.0874,9099.930112,61417.96171,8394.8447,584.7808213,487.0360823,264.1726278,655.8888009,932.2753659,1425.404693,3482.969657,2470.614303,1423.187856,1848.333439,910.5477213,13.3360212,389537722.7,22487.57669,7454.518421,1143.440315,3854.530826,299.5392676,3176.390846,673.4310333,568422.2707,7270.870474,183.6479477,823.8529692,13913.76657,19.16403997,1921.164933,109.0947725,41.17374938,27996.56878,26840.56396,42680.41592,69520.97988,base_mesh,"F03,F04,F05,F17",4
F07,37823.55614,77744.09016,165566.2855,295987.1929,3303.911936,33994.80476,1846.945442,2755.790296,284.2930443,131.9503589,330.9836545,392.2895625,543.9820299,1719.4458,1137.406052,551.489531,601.4477341,381.8824165,7.879385394,139090912.1,12032.50556,3255.046092,510.1678694,1687.006781,134.9623977,1416.899424,348.3506774,203083.0768,3134.143385,120.9027065,309.0337764,6083.049569,16.12184933,1973.639137,82.08109301,39.06625758,22865.32611,9288.094492,11764.33557,21052.43006,base_mesh,F07,1
F08,59221.21864,125954.8927,67066.43557,413261.8601,2076.75,21282.58841,1176.995,12164.75529,249.5372282,128.4988555,357.5652724,446.6947938,451.9463613,1304.939202,996.8633898,567.9881611,666.9467437,369.2459679,8.937772303,117189021.9,9094.753486,2718.468386,571.8878999,1283.780809,178.6571271,1049.031787,316.6034347,182378.4704,2675.952232,42.51615349,729.58329,5549.163748,18.12901435,1979.855131,90.79603648,39.8924389,21118.32111,7809.730597,19732.54998,27542.28058,base_mesh,F08,1
F09,7375.82494,175681.6361,62412.925,237232.1055,3163.25494,43679.06,181.205,0,172.6339715,95.26359711,212.1176532,291.947829,279.710501,716.1075202,664.9187383,372.1770062,451.3642646,165.8814249,0.617286106,80896654.09,7824.297833,1566.293868,212.4923975,625.6629179,113.3133103,790.5392337,172.1692348,116303.5902,1436.141838,130.1520296,304.7157297,3422.739792,14.67801093,1989.604627,101.2485338,39.51660894,23635.05817,5187.061103,18956.2586,24143.31971,base_mesh,F09,1
F10,60596.6749,66289.40624,62748.7902,468129.0881,10913.1975,42184.5782,7149.17,15067.3142,409.8528771,194.5730469,500.081393,664.1361147,608.0702506,1548.078393,1372.307621,766.5930688,843.3267303,422.9145577,16.276939,151902746.8,17035.54176,3353.623812,606.282355,1398.249409,257.1785514,1482.534602,445.1593046,233963.4193,3140.044577,213.5792351,1021.327954,7346.210992,16.15545604,1978.038181,79.58263038,38.64235681,20677.69996,8888.500032,13653.62592,22542.12595,base_mesh,F10,1
F12,16942.73577,219666.119,8354.718677,508315.3397,4564.681357,31313.71652,563.77,618.4800419,445.8820149,241.3913056,535.6959787,659.301678,599.686385,1521.100332,1302.266788,730.3975702,754.6263578,392.7718974,3.526000083,132761132.4,12869.72336,3244.260425,879.9742097,1383.612264,292.7379887,1129.478516,479.937029,212705.2884,3134.69317,109.5672542,1369.458937,7186.646308,15.19354958,1975.718701,76.885439,37.41987457,18473.30823,7602.99986,20636.68259,28239.68245,base_mesh,F12,1
F13,22193.57,240567.1447,22276.875,647912.4205,1392.48,22228.92957,1844.995922,396.865,515.907405,278.0705025,711.8131674,982.4842583,663.9372248,1471.067905,1645.625583,1016.0395,1260.311766,401.120816,40.21444409,163642364.8,11021.65961,3771.421413,1074.694209,1471.380142,459.6210683,1533.896334,551.8161478,279601.0239,3713.258588,58.16282525,1657.402144,8986.592572,21.76110016,1985.553352,77.20509187,38.404744,18209.6121,8908.150894,25342.66022,34250.81111,base_mesh,F13,1
F14,23407.9,180800.8849,1511.605,257050.3877,7405.29,25989.87,0,34781.79,165.1566838,82.56338544,221.1906166,289.8134089,219.2515287,525.3715444,493.4234758,333.7208836,377.4593015,180.1195156,8.59092565,53349080.81,4881.314225,1242.477501,356.8934599,508.62996,154.3723928,405.4256625,165.3471501,93256.46301,1194.457804,48.01969734,602.6350203,2896.66127,15.79601404,1984.206915,100.7909194,39.14744195,18417.4385,3608.661173,22342.08372,25950.74489,base_mesh,F14,1
